TF1,TF2,delta_oe_median,delta_oe_ct,delta_oe_pval,delta_oe_pval_corrected
NFYB,BHLHE40,0.05153857999999997,495,6.948568636278875e-107,1.648895337388977e-103
NFYB,CEBPB,0.03213055000000001,67,4.0007748601665107e-11,9.49383874317513e-08
NFYB,CREB1,0.03198380000000001,343,3.973009775281306e-55,9.427952196742539e-52
NFYB,CREM,0.029108209999999995,667,3.222998862175261e-101,7.648176299941896e-98
NFYB,CTCF,0.022174242999999996,186,6.6174821465299136e-21,1.5703285133715484e-17
NFYB,E2F1,0.03190831999999999,469,1.7715634763172036e-68,4.203920129300724e-65
NFYB,E2F4,0.023977485000000007,1195,2.297639884718225e-123,5.452299446436348e-120
NFYB,EGR1,0.0293601735,2038,9.53481659226701e-241,2.2626119773449613e-237
NFYB,ELF1,0.02346245699999999,902,2.9787487371003613e-89,7.068570753139157e-86
NFYB,ELF4,0.030358886999999994,290,2.059711694988196e-40,4.8876958522069885e-37
NFYB,ETS1,0.01617253000000002,149,5.361889489048536e-09,1.2723763757512177e-05
NFYB,GABPA,0.017849995000000007,694,2.153594509723632e-48,5.110479771574179e-45
NFYB,GMEB1,0.02385429600000001,309,7.758339333129741e-30,1.8410539237516875e-26
NFYB,IRF1,0.030529749999999967,3159,0.0,0.0
NFYB,JUND,0.0261180965,102,9.062233577144202e-11,2.150468027856319e-07
NFYB,MAFF,0.009563868000000003,61,0.0389007074280546,1.0
NFYB,MAFG,0.03502720000000001,89,3.3675329332104353e-13,7.991155650508363e-10
NFYB,MAFK,0.028446799999999994,69,4.1073445247674776e-08,9.746728557273224e-05
NFYB,MAX,0.03967476,527,8.535608668267833e-95,2.0254999369799569e-91
NFYB,MITF,0.05239587000000001,542,1.499476268429288e-119,3.5582571849827e-116
NFYB,NEUROD1,0.022134651499999998,1720,8.396676590172511e-187,1.992531354847937e-183
NFYB,NFIC,0.02772429999999998,225,4.069845602526354e-30,9.657743614795038e-27
NFYB,NFYA,0.040209259000000004,2032,0.0,0.0
NFYB,NFYB,0.03372196000000002,3735,0.0,0.0
NFYB,NR2C1,0.021678752999999995,200,1.7440396233199547e-19,4.1386060261382526e-16
NFYB,NR2F6,0.03798145,69,3.32680006158199e-11,7.894496546134063e-08
NFYB,NRF1,0.029007740000000004,1732,7.737231670574691e-218,1.8360450754273742e-214
NFYB,PKNOX1,0.03790757,457,3.918593586835718e-63,9.29882258156116e-60
NFYB,REST,-0.0011886860000000013,78,0.45059707453923625,1.0
NFYB,RFX1,0.034326604999999996,450,7.963833334889235e-69,1.8898176503692155e-65
NFYB,SMAD1,0.027117387000000007,51,5.226305346390552e-06,0.012402022586984779
NFYB,SP2,0.006983000000000017,329,3.4040405391220206e-07,0.0008077788199336555
NFYB,USF1,0.051045231999999996,950,8.938735093286662e-203,2.121161837636925e-199
NFYB,USF2,0.05438708500000001,810,1.8068918049832036e-184,4.287754253225142e-181
NFYB,YY1,0.030267649999999993,324,1.0380119616083451e-47,2.463202384896603e-44
NFYB,ZBTB2,0.025621724999999984,514,1.1277778385669402e-60,2.676216810919349e-57
NFYB,ZBTB40,0.025484695499999994,638,4.0699605822791357e-66,9.658016461748389e-63
NFYB,ZEB2,0.026769896,191,2.3120164231297804e-20,5.486414972086969e-17
NFYB,ZNF143,0.030025770000000007,262,2.041561086000073e-34,4.844624457078173e-31
NFYB,ZNF316,0.027141300000000007,111,5.91887817637167e-14,1.4045497912529972e-10
NFYB,ZNF639,0.021886324999999998,889,1.4757550755887838e-95,3.501966794372184e-92
NR2C1,ATF1,0.028569165000000007,249,1.8287492690721614e-35,4.339622015508239e-32
NR2C1,ATF2,0.020513702,98,3.338897798137998e-12,7.923204474981469e-09
NR2C1,ATF3,0.017214042999999978,142,1.5128710772010186e-15,3.5900430661980172e-12
NR2C1,BACH1,0.03112411999999999,117,3.079286409357171e-13,7.307146649404567e-10
NR2C1,BHLHE40,0.036946005000000004,244,2.548114097923333e-51,6.046674754372069e-48
NR2C1,CREB1,0.030072570000000007,190,9.891860390008737e-32,2.347338470549073e-28
NR2C1,CREM,0.030065230000000005,406,7.5687870845899735e-62,1.7960731751732007e-58
NR2C1,CTCF,0.030313849999999976,271,7.223491629930838e-41,1.714134563782588e-37
NR2C1,E2F1,0.028826464999999996,221,1.4176697869349973e-31,3.364130404396749e-28
NR2C1,E2F4,0.024644525000000007,566,6.661057431136348e-69,1.5806689284086555e-65
NR2C1,EGR1,0.025379014,1001,1.3399964210130092e-115,3.1798115070638707e-112
NR2C1,ELF1,0.029127605,1354,2.560048132157084e-186,6.074994217608761e-183
NR2C1,ELF4,0.0347007325,458,2.9287552545385553e-83,6.949936219019991e-80
NR2C1,ETS1,0.01988521,279,2.5774682597275764e-24,6.1163321803335385e-21
NR2C1,GABPA,0.026238276,1409,6.982826958188274e-171,1.6570248371780775e-167
NR2C1,GMEB1,0.026471132999999994,397,1.432324970788595e-51,3.398907155681336e-48
NR2C1,IRF1,0.02673835999999999,887,4.4953985174098645e-118,1.0667580681813608e-114
NR2C1,JUND,0.022443362499999998,96,1.4824294092780973e-14,3.5178049882169247e-11
NR2C1,KLF16,0.019030489999999997,51,2.4973433027675588e-06,0.005926195657467417
NR2C1,MAFF,0.018636563999999994,55,0.005265371116110892,1.0
NR2C1,MAFG,0.03764961950000001,94,5.78901436350927e-17,1.3737331084607498e-13
NR2C1,MAFK,0.0261195,68,4.1290619043891585e-09,9.798263899115473e-06
NR2C1,MAX,0.03365594400000001,297,5.47619092295176e-51,1.2995001060164526e-47
NR2C1,MITF,0.036178140000000025,161,3.1149290396671518e-34,7.391726611130151e-31
NR2C1,NEUROD1,0.014735155,116,9.992464364133914e-12,2.3712117936089778e-08
NR2C1,NFE2,0.033280436999999996,86,1.9322995063600436e-10,4.5853467285923835e-07
NR2C1,NFIC,0.03028024,239,1.1261873730796017e-38,2.672442636317895e-35
NR2C1,NFYA,0.02747645999999998,137,1.9204220238084481e-19,4.557161462497447e-16
NR2C1,NFYB,0.021678752999999995,200,1.7440396233199547e-19,4.1386060261382526e-16
NR2C1,NR2C1,0.029014246999999993,1072,1.867729568553004e-178,4.432122266176279e-175
NR2C1,NR2F6,0.030595545999999998,150,4.0122105523036406e-27,9.52097564061654e-24
NR2C1,NRF1,0.032505939,1169,2.5553154417180633e-189,6.063763543196964e-186
NR2C1,PKNOX1,0.0376487075,96,9.421681351723945e-16,2.2357649847640923e-12
NR2C1,REST,0.007854460000000008,59,3.403348340080083e-05,0.08076145611010037
NR2C1,RFX1,0.036982976,255,2.0087624458677275e-47,4.766793284044118e-44
NR2C1,SMAD1,0.0164934035,52,0.0001386553269411892,0.32902909083144194
NR2C1,SP2,0.019154660000000004,130,3.658802024202842e-12,8.682337203433343e-09
NR2C1,STAT5A,0.021515701999999998,56,3.773151387439966e-08,8.953688242395039e-05
NR2C1,TAL1,0.04195702000000001,59,3.746221084118286e-10,8.889782632612693e-07
NR2C1,TEAD4,0.026319488499999998,82,3.887239770252115e-12,9.22441997480827e-09
NR2C1,USF1,0.03657304000000003,291,6.50272754475095e-61,1.5430972463694004e-57
NR2C1,USF2,0.033518794000000005,213,1.5776288784134785e-40,3.7437133284751844e-37
NR2C1,YY1,0.02796771,473,9.68227282277949e-63,2.297603340845573e-59
NR2C1,ZBTB2,0.027882340000000005,609,1.3497421936414544e-88,3.2029382255111714e-85
NR2C1,ZBTB40,0.0336138,1380,6.4578574761184054e-220,1.5324495790828976e-216
NR2C1,ZEB2,0.02787413999999999,305,1.3564108204823494e-41,3.218762877004615e-38
NR2C1,ZNF143,0.035110489999999994,347,3.663177100293999e-61,8.69271925899766e-58
NR2C1,ZNF316,0.03641029000000001,88,3.265836137752792e-15,7.749829154887376e-12
NR2C1,ZNF639,0.023056110000000005,817,1.8762818389917173e-113,4.452416803927345e-110
NR2F2,BACH1,0.0035686234999999997,92,0.0525337562931961,1.0
NR2F2,BHLHE40,0.025960308,52,2.247323739886028e-06,0.005332899234749545
NR2F2,EGR1,0.020530004,140,9.69267820284543e-13,2.3000725375352206e-09
NR2F2,ELF1,0.027021060000000013,77,9.368531018616445e-09,2.223152410717682e-05
NR2F2,GABPA,-0.004935319999999993,51,0.4054808236993883,1.0
NR2F2,IRF1,0.036564440000000004,72,8.29359327192945e-10,1.968069683428859e-06
NR2F2,JUND,0.011966478000000003,143,4.269591976674964e-07,0.001013174176064969
NR2F2,KLF16,0.02103559,272,6.289009318574324e-22,1.4923819112976872e-18
NR2F2,MAFF,0.002891257500000001,108,0.06565488725535365,1.0
NR2F2,MAFG,0.01132588899999999,196,5.169449032754949e-08,0.00012267102554727494
NR2F2,MAFK,0.01519688999999999,99,2.378508209225617e-11,5.644199980492389e-08
NR2F2,MAX,0.02389730999999999,83,7.438055234926516e-10,1.7650505072480623e-06
NR2F2,MITF,0.022247837500000006,88,3.216424253258532e-08,7.632574752982496e-05
NR2F2,NFE2,0.004954654999999999,139,0.04126327256054424,1.0
NR2F2,NFIC,0.0322070705,188,1.0647250258107916e-32,2.5265924862490085e-29
NR2F2,NR2F2,0.04380552,198,2.645599112127992e-38,6.278006693079725e-35
NR2F2,NR2F6,0.015983578,149,2.984140749505644e-11,7.081365998576893e-08
NR2F2,NRF1,0.016141319999999994,66,0.0036428401966239403,1.0
NR2F2,REST,-0.010700507499999998,52,0.03342354452901635,1.0
NR2F2,SMAD1,0.020494576,71,4.6254344604377485e-08,0.00010976155974618778
NR2F2,SOX6,0.03977747000000001,91,6.905899215483743e-15,1.638769883834292e-11
NR2F2,STAT5A,0.034700222999999995,130,7.955706978053614e-23,1.8878892658921226e-19
NR2F2,TAL1,0.018850977000000005,271,3.9806115123030046e-19,9.445991118695029e-16
NR2F2,TCF12,0.037327424,80,4.50064599487034e-12,1.0680032945827317e-08
NR2F2,TEAD4,0.024459532,289,3.962892705343934e-30,9.403944389781155e-27
NR2F2,USF1,0.030935727499999996,84,1.0110692215714618e-12,2.399267262789079e-09
NR2F2,USF2,0.0251642585,68,1.3253968465737908e-08,3.1451667169196057e-05
NR2F2,ZBTB2,0.02005151,52,0.0025418485537418494,1.0
NR2F2,ZEB2,0.0008650600000000008,53,0.08176625548233069,1.0
NR2F2,ZNF316,0.007908034999999997,154,4.215178075289652e-06,0.010002617572662345
NR2F2,ZNF639,0.032814759,52,1.2673696102638355e-09,3.0074680851560817e-06
NR2F6,ATF1,0.036747339999999996,63,7.486624383985028e-11,1.7765759663196472e-07
NR2F6,ATF3,0.012792961999999998,61,1.2865483622067133e-06,0.0030529792635165306
NR2F6,BACH1,0.024955260000000007,93,4.06944075168995e-11,9.656782903760252e-08
NR2F6,BHLHE40,0.04051310549999999,84,1.3638884093331938e-16,3.236507195347669e-13
NR2F6,CREM,0.030522524999999995,82,9.419020183184095e-17,2.2351334894695858e-13
NR2F6,CTCF,0.038888838,181,9.110739545065062e-30,2.1619784940439392e-26
NR2F6,E2F1,0.03142837799999999,69,5.742019680057397e-12,1.3625812700776204e-08
NR2F6,E2F4,0.0344703215,120,4.2466475148937686e-19,1.0077294552842913e-15
NR2F6,EGR1,0.043152775000000004,490,1.211374123261688e-92,2.8745907944999855e-89
NR2F6,ELF1,0.031291719999999995,199,1.6711888161227597e-33,3.9657310606593084e-30
NR2F6,ELF4,0.0423864605,58,5.717141399562866e-13,1.3566776541162683e-09
NR2F6,GABPA,0.02722972999999998,185,3.510093119916949e-23,8.329450973562919e-20
NR2F6,GMEB1,0.039302929,96,3.091272197210592e-21,7.335588923980735e-18
NR2F6,IRF1,0.0401174165,214,4.3720654429416383e-39,1.0374911296100507e-35
NR2F6,JUND,0.02752492000000001,173,3.2518654474052656e-20,7.716676706692696e-17
NR2F6,KLF16,0.034520264999999994,142,1.3767052658236686e-20,3.2669215957995656e-17
NR2F6,MAFF,0.017297395,104,2.306091802583096e-06,0.005472355847529687
NR2F6,MAFG,0.034690184999999985,142,6.429362719406259e-21,1.5256877733151053e-17
NR2F6,MAFK,0.023305715999999997,103,5.211608601300363e-13,1.2367147210885762e-09
NR2F6,MAX,0.053581247,136,9.610348020123088e-28,2.2805355851752088e-24
NR2F6,MITF,0.053393369999999996,97,1.415072596846443e-25,3.3579672723166094e-22
NR2F6,NFE2,0.027078309999999994,125,2.3949019987325403e-15,5.683102442992318e-12
NR2F6,NFIC,0.037434020000000005,213,3.167865631464457e-42,7.517345143465157e-39
NR2F6,NFYB,0.03798148,69,3.3268175156132924e-11,7.894537964550342e-08
NR2F6,NR2C1,0.030595551500000002,150,4.012206265590499e-27,9.520965468246254e-24
NR2F6,NR2F2,0.015983580999999997,149,2.984152494664143e-11,7.081393869838011e-08
NR2F6,NR2F6,0.04377621749999999,462,1.012763589148894e-105,2.4032879970503256e-102
NR2F6,NRF1,0.04391048,268,1.568944432759341e-61,3.7231051389379156e-58
NR2F6,REST,0.016146462,57,1.1336177972089688e-05,0.02690075032776883
NR2F6,RFX1,0.0558959,87,3.404200176636464e-20,8.07816701915833e-17
NR2F6,SMAD1,0.03401936999999999,51,6.794808233019363e-10,1.6124079936954948e-06
NR2F6,SOX6,0.0320300175,58,5.256800301754152e-10,1.2474387116062605e-06
NR2F6,STAT5A,0.022226046999999992,101,5.002385854025866e-11,1.187066163160338e-07
NR2F6,TAL1,0.03956680049999999,172,5.15945302784188e-24,1.224338203506878e-20
NR2F6,TEAD4,0.03474099,187,5.484056670504955e-32,1.3013666479108258e-28
NR2F6,USF1,0.05230723500000001,128,1.626289982798429e-26,3.859186129180672e-23
NR2F6,USF2,0.05827575999999998,99,4.054822932022143e-22,9.622094817688546e-19
NR2F6,YY1,0.03201071,111,2.883401197634813e-18,6.8423110419874116e-15
NR2F6,ZBTB2,0.03979719999999998,99,1.4194780817779213e-20,3.3684214880590074e-17
NR2F6,ZBTB40,0.034546325,147,4.988327105336529e-23,1.1837300220963584e-19
NR2F6,ZEB2,0.041254769,58,3.3927378743350466e-09,8.050966975797066e-06
NR2F6,ZNF316,0.03395342999999998,153,3.3246614801980934e-23,7.889421692510075e-20
NR2F6,ZNF639,0.03786380500000001,142,7.949474112465384e-25,1.8864102068880356e-21
NRF1,ATF1,0.040710179999999985,2106,0.0,0.0
NRF1,ATF2,0.032918144999999996,728,5.547469710707575e-104,1.3164145623509077e-100
NRF1,ATF3,0.03130654500000002,878,1.1724537103017078e-123,2.7822326545459528e-120
NRF1,BACH1,0.029154829999999993,121,9.45890930628827e-15,2.2445991783822063e-11
NRF1,BHLHE40,0.05576834,2505,0.0,0.0
NRF1,CEBPB,0.04464549300000001,260,6.89256560502121e-45,1.6356058180715332e-41
NRF1,CREB1,0.03768128000000001,1551,6.199085643925789e-246,1.4710430233035896e-242
NRF1,CREM,0.038888076500000014,3952,0.0,0.0
NRF1,CTCF,0.036353366,2707,0.0,0.0
NRF1,E2F1,0.044228315,1573,1.5567356668990788e-301,3.694133737551514e-298
NRF1,E2F4,0.029276920000000012,8878,0.0,0.0
NRF1,EGR1,0.034734975000000015,14662,0.0,0.0
NRF1,ELF1,0.030272650000000012,5367,0.0,0.0
NRF1,ELF4,0.04734445999999998,1201,4.304425246973396e-255,1.0214401111067869e-251
NRF1,ETS1,0.025414425000000004,1123,4.338392354177006e-126,1.0295005056462036e-122
NRF1,FOXK2,0.03871443500000003,172,1.9343206422600636e-28,4.590142884083131e-25
NRF1,GABPA,0.03300104000000001,4076,0.0,0.0
NRF1,GMEB1,0.03761249999999999,2436,0.0,0.0
NRF1,IRF1,0.03241698000000001,9439,0.0,0.0
NRF1,JUND,0.0282981525,300,2.3434384149544697e-37,5.560979358686956e-34
NRF1,KLF16,0.024648853,74,5.8446900966822704e-08,0.00013869449599427028
NRF1,MAFF,0.024516465000000008,120,1.6186983225086176e-13,3.8411711193129495e-10
NRF1,MAFG,0.04696786,201,7.45821368284358e-40,1.7698341069387815e-36
NRF1,MAFK,0.039341341999999994,197,1.886110682489204e-37,4.475740649546881e-34
NRF1,MAX,0.052879302999999996,3458,0.0,0.0
NRF1,MITF,0.061403704999999975,1194,1.8205080659608546e-298,4.3200656405251084e-295
NRF1,NEUROD1,0.01594603,875,1.1334641652498416e-63,2.6897104641378743e-60
NRF1,NFE2,0.03334971999999997,149,2.529057401481766e-18,6.0014532137162306e-15
NRF1,NFIC,0.03496537500000001,1270,3.137680176945473e-234,7.445715059891607e-231
NRF1,NFYA,0.031639005000000005,1018,1.6359541440595564e-127,3.882119183853327e-124
NRF1,NFYB,0.029007740000000004,1732,7.737231670574691e-218,1.8360450754273742e-214
NRF1,NR2C1,0.032505939,1169,2.5553154417180633e-189,6.063763543196964e-186
NRF1,NR2F2,0.016141319999999994,66,0.003642840196623926,1.0
NRF1,NR2F6,0.04391045500000001,268,1.5689517734578214e-61,3.72312255841541e-58
NRF1,NRF1,0.05516906499999999,26098,0.0,0.0
NRF1,PKNOX1,0.03810691000000001,701,1.5288778155303282e-87,3.628027056253469e-84
NRF1,REST,0.017773454,608,2.7311690450436157e-41,6.4810641438885e-38
NRF1,RFX1,0.04451323999999998,1565,9.186057067462561e-297,2.1798513421088657e-293
NRF1,SMAD1,0.030210799999999996,252,1.0020882742948204e-35,2.3779554749016087e-32
NRF1,SP2,0.022518723000000004,490,4.8726126713400556e-33,1.1562709869089952e-29
NRF1,STAT5A,0.017084395000000002,106,1.926790224249452e-11,4.5722732021439495e-08
NRF1,TAL1,0.050750870000000003,143,2.5299860455902854e-25,6.003656886185748e-22
NRF1,TEAD4,0.036688540000000006,122,4.6953273005128284e-17,1.1142011684116941e-13
NRF1,USF1,0.05656129999999998,2519,0.0,0.0
NRF1,USF2,0.06192585499999999,2078,0.0,0.0
NRF1,YY1,0.039165695,2546,0.0,0.0
NRF1,ZBTB2,0.05748345000000001,10822,0.0,0.0
NRF1,ZBTB40,0.033053163999999996,3599,0.0,0.0
NRF1,ZEB2,0.036870660000000006,1012,2.1817984207267934e-173,5.177407652384681e-170
NRF1,ZNF143,0.04924906,1517,1.5731987324603563e-302,3.7332005921284254e-299
NRF1,ZNF316,0.039862515,285,3.8416185461415957e-53,9.116160809994007e-50
NRF1,ZNF639,0.03825455999999999,15345,0.0,0.0
PKNOX1,ATF1,0.030596715000000017,126,9.181200502153295e-16,2.1786988791609767e-12
PKNOX1,ATF3,0.026493988999999996,57,4.716089760644546e-06,0.011191281002009508
PKNOX1,BHLHE40,0.047892219999999985,131,5.748345981757566e-25,1.3640825014710704e-21
PKNOX1,CREB1,0.03834646,103,7.701139438343995e-14,1.82748038871903e-10
PKNOX1,CREM,0.03966971199999999,200,1.830453453624583e-34,4.343666045451135e-31
PKNOX1,CTCF,0.046340467999999996,157,3.2942353380604703e-29,7.817220457217496e-26
PKNOX1,E2F1,0.04247525000000002,103,4.622575733341634e-16,1.0969372215219697e-12
PKNOX1,E2F4,0.03446322000000002,271,4.548232606310958e-45,1.0792955974775904e-41
PKNOX1,EGR1,0.03428408200000001,676,1.7688648921032354e-87,4.197516388960978e-84
PKNOX1,ELF1,0.03413669950000001,288,4.3231292608649984e-43,1.025878573603264e-39
PKNOX1,ELF4,0.050275159,86,7.654859074214984e-21,1.8164980583112157e-17
PKNOX1,ETS1,0.029851959999999997,53,1.259492283985191e-05,0.02988775189896858
PKNOX1,GABPA,0.026769244999999997,272,4.5893695820486217e-26,1.089057401820138e-22
PKNOX1,GMEB1,0.038923278,136,2.4929432053705895e-24,5.915754226344409e-21
PKNOX1,IRF1,0.035929889999999964,828,6.232899153595639e-116,1.479066969148245e-112
PKNOX1,JUND,0.016387418,56,4.950488652381721e-05,0.11747509572101825
PKNOX1,MAX,0.039407780999999996,155,1.1366551533458437e-26,2.697282678889687e-23
PKNOX1,MITF,0.04381514000000003,97,5.119480337294132e-21,1.2148526840398975e-17
PKNOX1,NEUROD1,0.026886149999999998,275,5.850536953153317e-32,1.3883324189832822e-28
PKNOX1,NFIC,0.041134719999999986,133,1.7367354652222552e-26,4.1212732589724116e-23
PKNOX1,NFYA,0.04615297500000005,210,6.2698665531414525e-34,1.4878393330604667e-30
