relative_pos,edit_ct,total_ct,edit_frac,edit_frac_ma
-150,1334,7129,0.18712301865619302,0.18218780363970585
-149,1491,7811,0.19088464985277173,0.1809385853337224
-148,1452,7816,0.18577277379733878,0.18162561642143746
-147,1454,8090,0.17972805933250927,0.1802886073646219
-146,1443,7611,0.18959400867165943,0.18115321951695107
-145,1642,8647,0.18989244824794727,0.1801700657039665
-144,1700,8951,0.18992291364093397,0.17853889387444566
-143,837,5789,0.1445845569182933,0.1755085202976461
-142,1565,9155,0.1709448388858547,0.17301356569730827
-141,1368,7284,0.18780889621087316,0.1702775165465269
-140,1436,8603,0.16691851679646635,0.17091329125746269
-139,1499,7862,0.19066395319257187,0.17065865046068474
-138,1234,7329,0.16837221994815119,0.1683357635859294
-137,1284,8161,0.15733366009067518,0.16616586464413896
-136,1029,7732,0.13308329022245216,0.16421928600029587
-135,944,6306,0.14969869965112592,0.1659599982369748
-134,1008,6727,0.14984391259105098,0.16513308390658668
-133,1474,7547,0.19530939446137538,0.16460599361351713
-132,1491,8476,0.17590844738084002,0.16568770891730755
-131,1316,8504,0.15475070555032927,0.16486202460610874
-130,1263,8027,0.1573439641210913,0.16503360133262118
-129,1154,7180,0.16072423398328692,0.16453897030361303
-128,1370,8026,0.17069524046847745,0.16442598860616908
-127,1278,8061,0.1585411239300335,0.16390130130203406
-126,1366,7593,0.17990254181482945,0.16410004939265177
-125,1582,8638,0.18314424635332252,0.1632620151985586
-124,1305,7320,0.17827868852459017,0.16373174605245353
-123,1538,8997,0.1709458708458375,0.16283612379452592
-122,1223,8158,0.14991419465555283,0.16322832731215675
-121,1126,8570,0.13138856476079347,0.16435389761962238
-120,1162,8193,0.14182839008910045,0.16416890689410363
-119,1255,8212,0.1528251339503166,0.1652389024852457
-118,1660,9084,0.18273888154997797,0.1647399673959379
-117,1537,8401,0.18295441018926317,0.16644236589436112
-116,1022,7232,0.14131637168141592,0.16464276734072655
-115,1305,7995,0.16322701688555347,0.16541354377250575
-114,1277,7190,0.1776077885952712,0.16745086860349517
-113,1451,8641,0.1679203795856961,0.17002157851460725
-112,1601,9170,0.17459105779716466,0.17415185685068463
-111,1259,7302,0.17241851547521228,0.17551329813711372
-110,1529,7327,0.20868022382967108,0.17413956605092445
-109,1313,8679,0.15128471022007145,0.17284872625181702
-108,1396,7649,0.18250751732252582,0.1742058802466798
-107,1538,8522,0.18047406712039427,0.17472420757312782
-106,1372,8073,0.1699492134274743,0.17286872652542667
-105,1627,7984,0.20378256513026052,0.1743861426922474
-104,1334,7700,0.17324675324675326,0.1725604643292992
-103,1198,7389,0.162132900257139,0.1707786189291733
-102,1135,6938,0.16359181320265206,0.16865672056772849
-101,1306,8078,0.16167368160435752,0.173147888301954
-100,1420,8304,0.1710019267822736,0.1705892787104547
-99,1268,8466,0.14977557287975432,0.16871605258918096
-98,1326,6954,0.1906816220880069,0.16773531919288753
-97,1001,6800,0.1472058823529412,0.16657987080610598
-96,1065,7310,0.1456908344733242,0.16875864803186305
-95,1583,8951,0.1768517484079991,0.17004910244866525
-94,1817,8310,0.21865222623345368,0.17055346826765874
-93,988,6855,0.14412837345003646,0.17204802194227262
-92,1100,7219,0.15237567530128826,0.17033760980217777
-91,1261,8123,0.15523821248307276,0.17282401256189983
-90,1555,8340,0.18645083932853718,0.1707664365058029
-89,1841,8940,0.20592841163310963,0.17178270433558007
-88,1306,7196,0.18148971650917176,0.17385271812029737
-87,1334,7794,0.17115730048755454,0.1729805431452996
-86,1553,8436,0.18409198672356566,0.16942580984465908
-85,1093,7520,0.14534574468085107,0.17022946099990838
-84,1583,8462,0.18707161427558497,0.17192647203109812
-83,1159,7252,0.15981798124655267,0.1739848764305331
-82,1297,7984,0.1624498997995992,0.17511696768899582
-81,1307,7395,0.17674104124408385,0.17255471871851788
-80,1413,8628,0.163769123783032,0.17289075924461067
-79,1465,8861,0.16533122672384606,0.17444614546538076
-78,1460,9348,0.1561831407787762,0.17454518213009776
-77,1415,7957,0.1778308407691341,0.176707494078738
-76,1469,7893,0.18611427847459774,0.17457962401130495
-75,1790,8799,0.2034322082054779,0.17455159795229783
-74,1180,7045,0.16749467707594037,0.17520946826026595
-73,1587,8508,0.18653032440056416,0.17531345656405145
-72,1609,8273,0.19448809379910553,0.17646199509383864
-71,1454,7835,0.18557753669432037,0.17814784677354129
-70,1493,8398,0.17778042391045487,0.17798450616657008
-69,1561,10061,0.15515356326408905,0.1765432481386746
-68,1323,8300,0.1593975903614458,0.1733394713061893
-67,1550,8995,0.17231795441912173,0.17001273862677943
-66,1318,7392,0.1783008658008658,0.17180393946227215
-65,1423,7862,0.18099720172983974,0.1743827809815077
-64,1589,8336,0.1906190019193858,0.17496680880150597
-63,1359,8840,0.15373303167420815,0.1758910832024169
